setare_viteza_operare,setare_sarcina_utila,senz_temperatura_articulatie_3,senz_vibratii_efector_final,senz_curent_consumat_motor_1,ore_functionare_de_la_revizie,reteta_productie_activa,prob_cerere_piesa_mecanica_24h,prob_cerere_piesa_electrica_24h,estimare_calitate_produs_finit,estimare_timp_ciclu_secunde
83.88,6.81,47.81,0.8895,7.91,2.9,2,0.05,0.02,87.84,12.4
60.17,6.04,45.46,0.7424,7.54,1.9,0,0.05,0.02,90.46,12.31
60.49,3.04,44.35,0.9443,4.62,6.9,2,0.05,0.02,91.26,12.24
62.61,3.89,44.78,0.9438,5.51,5.0,2,0.05,0.02,87.53,12.69
64.34,0.99,46.59,0.7204,3.14,8.8,2,0.05,0.02,90.19,12.42
73.93,2.14,44.18,0.7643,4.0,6.7,1,0.05,0.02,92.06,12.6
96.29,8.76,51.95,1.0538,9.61,8.5,0,0.05,0.02,88.01,12.45
69.97,9.58,47.14,0.7554,10.68,11.1,0,0.05,0.02,89.87,12.51
88.48,5.62,47.49,0.8672,6.98,11.7,2,0.05,0.02,88.24,12.47
89.83,7.11,48.91,0.8073,7.91,12.4,2,0.05,0.02,88.16,12.39
95.31,4.52,48.03,1.0816,6.07,13.6,0,0.05,0.02,88.23,12.7
98.56,3.41,51.37,0.9767,4.98,11.1,1,0.05,0.02,86.55,12.41
86.55,4.32,46.8,1.0152,6.09,12.8,1,0.05,0.02,89.51,12.61
97.02,7.78,51.0,0.8567,9.08,13.2,2,0.05,0.02,88.78,12.34
65.14,5.72,43.25,0.8558,7.29,18.9,1,0.05,0.02,92.9,12.58
66.38,8.73,44.74,0.5515,9.87,19.1,0,0.05,0.02,93.82,12.51
71.86,4.68,45.45,0.6623,6.07,19.5,2,0.05,0.02,87.97,12.46
79.75,1.71,48.92,0.9038,3.74,20.1,1,0.05,0.02,89.37,12.4
83.82,3.22,47.62,0.9028,4.92,21.3,1,0.05,0.02,89.92,12.55
64.38,2.4,48.22,0.8471,4.16,21.6,1,0.05,0.02,88.45,12.5
95.66,6.86,50.54,0.9692,7.85,23.7,0,0.05,0.02,83.73,12.49
69.35,8.27,41.31,0.5494,9.39,21.3,1,0.05,0.02,96.07,12.45
73.44,4.26,47.36,0.9367,5.45,23.5,0,0.05,0.02,89.33,12.61
70.1,5.03,47.56,0.8214,6.64,24.1,0,0.05,0.02,86.63,12.42
73.44,7.03,45.49,0.8377,8.35,27.1,2,0.05,0.02,89.02,12.77
